date,time,open,high,low,close,volume
2020-12-17,23:45,1.35753,1.35854,1.35742,1.35832,932
2020-12-18,00:00,1.35854,1.35896,1.35748,1.35828,154
2020-12-18,00:15,1.35827,1.35848,1.35803,1.35814,69
2020-12-18,00:30,1.35815,1.35865,1.35814,1.35861,203
2020-12-18,00:45,1.35857,1.35862,1.35786,1.35852,244
2020-12-18,01:00,1.35841,1.35851,1.35735,1.35767,576
2020-12-18,01:15,1.35767,1.35787,1.35728,1.35750,474
2020-12-18,01:30,1.35739,1.35766,1.35717,1.35764,655
2020-12-18,01:45,1.35763,1.35764,1.35673,1.35688,656
2020-12-18,02:00,1.35688,1.35724,1.35671,1.35683,902
2020-12-18,02:15,1.35684,1.35693,1.35647,1.35671,849
2020-12-18,02:30,1.35672,1.35680,1.35645,1.35648,651
2020-12-18,02:45,1.35648,1.35666,1.35547,1.35562,1107
2020-12-18,03:00,1.35560,1.35587,1.35535,1.35567,1191
2020-12-18,03:15,1.35560,1.35566,1.35514,1.35528,888
2020-12-18,03:30,1.35532,1.35572,1.35526,1.35556,2048
2020-12-18,03:45,1.35555,1.35589,1.35545,1.35553,2777
2020-12-18,04:00,1.35552,1.35555,1.35510,1.35518,842
2020-12-18,04:15,1.35517,1.35547,1.35477,1.35491,692
2020-12-18,04:30,1.35492,1.35494,1.35336,1.35338,849
2020-12-18,04:45,1.35338,1.35355,1.35300,1.35318,1151
2020-12-18,05:00,1.35319,1.35332,1.35301,1.35320,895
2020-12-18,05:15,1.35319,1.35374,1.35319,1.35356,728
2020-12-18,05:30,1.35356,1.35360,1.35307,1.35321,692
2020-12-18,05:45,1.35320,1.35336,1.35311,1.35324,764
2020-12-18,06:00,1.35322,1.35338,1.35291,1.35298,538
2020-12-18,06:15,1.35299,1.35304,1.35200,1.35212,1129
2020-12-18,06:30,1.35212,1.35251,1.35206,1.35235,1515
2020-12-18,06:45,1.35234,1.35273,1.35216,1.35261,1254
2020-12-18,07:00,1.35262,1.35301,1.35242,1.35249,943
2020-12-18,07:15,1.35249,1.35255,1.35207,1.35214,899
2020-12-18,07:30,1.35213,1.35247,1.35210,1.35235,877
2020-12-18,07:45,1.35234,1.35272,1.35223,1.35249,875
2020-12-18,08:00,1.35249,1.35356,1.35237,1.35354,1139
2020-12-18,08:15,1.35354,1.35438,1.35330,1.35376,1241
2020-12-18,08:30,1.35375,1.35508,1.35364,1.35508,1143
2020-12-18,08:45,1.35508,1.35520,1.35442,1.35442,827
2020-12-18,09:00,1.35442,1.35482,1.35390,1.35447,1157
2020-12-18,09:15,1.35448,1.35577,1.35443,1.35490,1430
2020-12-18,09:30,1.35490,1.35497,1.35394,1.35440,1122
2020-12-18,09:45,1.35440,1.35462,1.35222,1.35223,1255
2020-12-18,10:00,1.35222,1.35300,1.35124,1.35292,2160
2020-12-18,10:15,1.35289,1.35420,1.35182,1.35391,2291
2020-12-18,10:30,1.35394,1.35472,1.35345,1.35439,1407
2020-12-18,10:45,1.35439,1.35505,1.35373,1.35392,1531
2020-12-18,11:00,1.35392,1.35446,1.35327,1.35394,1497
2020-12-18,11:15,1.35393,1.35396,1.35146,1.35160,1503
2020-12-18,11:30,1.35159,1.35177,1.34963,1.35004,1759
2020-12-18,11:45,1.35005,1.35020,1.34889,1.34930,1962
2020-12-18,12:00,1.34929,1.35094,1.34919,1.35088,1879
2020-12-18,12:15,1.35087,1.35158,1.35056,1.35129,1304
2020-12-18,12:30,1.35129,1.35184,1.35083,1.35179,1084
2020-12-18,12:45,1.35179,1.35233,1.35143,1.35226,970
2020-12-18,13:00,1.35226,1.35302,1.35209,1.35254,1303
2020-12-18,13:15,1.35254,1.35328,1.35233,1.35245,1120
2020-12-18,13:30,1.35244,1.35336,1.35133,1.35309,1373
2020-12-18,13:45,1.35308,1.35384,1.35285,1.35328,1487
2020-12-18,14:00,1.35325,1.35345,1.35239,1.35325,1622
2020-12-18,14:15,1.35324,1.35355,1.35227,1.35355,1236
2020-12-18,14:30,1.35359,1.35482,1.35345,1.35474,1434
2020-12-18,14:45,1.35475,1.35480,1.35183,1.35218,2174
2020-12-18,15:00,1.35217,1.35264,1.34997,1.35004,2103
2020-12-18,15:15,1.35004,1.35084,1.34952,1.35042,2141
